f^fileName^initfunc^thumbnailfile^b
0^background.jpg^image('http://www.youyoucode.cn/ide/resource/assets/game/planefight_bg.jpg',0,0,556,683);^http://www.youyoucode.cn/ide/resource/assets/game/icon/planefight_bg.png^0
0^hero.png^image('http://www.youyoucode.cn/ide/resource/assets/game/planefight_hero.png',0,0,56,56);^http://www.youyoucode.cn/ide/resource/assets/game/icon/planefight_hero.png^0
0^enemy.png^image('http://www.youyoucode.cn/ide/resource/assets/game/enemy.png',0,0,60,60);^http://www.youyoucode.cn/ide/resource/assets/game/icon/enemy.png^0
0^boss.png^image('http://www.youyoucode.cn/ide/resource/assets/game/planefight_enemy.png',0,0,100,100);^http://www.youyoucode.cn/ide/resource/assets/game/icon/planefight_enemy.png^0
0^bullet.png^image('http://www.youyoucode.cn/ide/resource/assets/game/planefight_bullet.png',0,0,50,50);^http://www.youyoucode.cn/ide/resource/assets/game/icon/planefight_bullet.png^0
0^enemybullet.png^image('http://www.youyoucode.cn/ide/resource/assets/game/planefight_enemybullet.png',0,0,67,106);^http://www.youyoucode.cn/ide/resource/assets/game/icon/planefight_enemybullet.png^0
0^star.png^image('http://www.youyoucode.cn/ide/resource/assets/game/planefight_star.png',0,0,103,111);^http://www.youyoucode.cn/ide/resource/assets/game/icon/planefight_star.png^0
0^stone.png^image('http://www.youyoucode.cn/ide/resource/assets/game/planefight_stone.png',0,0,124,111);^http://www.youyoucode.cn/ide/resource/assets/game/icon/planefight_stone.png^0
0^planefight_shiled.png^image('http://www.youyoucode.cn/ide/resource/assets/game/planefight_shiled.png',0,0,300,300);^http://www.youyoucode.cn/ide/resource/assets/game/icon/planefight_shiled.png^0
0^enemy_b.png^image('http://www.youyoucode.cn/ide/resource/assets/game/planefight_enemy_b.png',0,0,173,181);^http://www.youyoucode.cn/ide/resource/assets/game/icon/planefight_enemy_b.png^0
