f^id^name^icon^type^team^description^physicalw^physicalh^isphysicalblock^ismoveblock^isvisionblock^actions^atksound^diesound^atkedsound^saysound^castsound^friendlyfire^isthroughwalls^invisible^autotargetsnearest^isfindpath^attack^skill^hp^atkdamage^viewrange^speed^drop_energy^drop^selectable^iscollect^collectrange^havecorpse^isanimation^isrotating^isfullangle^ai^sayhi^neta^commandable^commandable_skill^findtype^hero_rotation^nameh^b
0^50000^地雷^Bomb^5^4^ ^3^3^0^0^0^idle|explode^ ^ ^ ^ ^ ^1^0^1^0^0^20018^0^1^0^3^0^0^ ^1^0^0^0^1^0^0^0^0^0^0^0^bomb^3^140^0
0^50001^旋转的机关^RotatingLaser^2^2^ ^3^3^1^1^1^idle^ ^ ^ ^ ^ ^0^0^1^0^0^0^0^1^0^15^0^0^ ^1^0^0^0^1^1^0^0^0^0^0^0^lazertrap^3^140^0
0^50002^符文地板^Clear^2^2^ ^3^3^0^0^0^idle^ ^ ^ ^ ^ ^1^0^1^0^0^20026^0^1^0^15^0^0^ ^1^0^0^0^1^1^0^0^0^0^0^0^runes^3^140^0
0^50003^消失的树丛^MagicTree^3^3^ ^3^3^1^1^0^idle|say^ ^ ^ ^ ^ ^0^0^1^0^0^0^0^1^0^30^0^0^ ^1^0^0^0^1^1^0^0^70004^0^0^0^bush^3^140^0
0^50004^消失的树丛^MagicTree^3^3^ ^3^3^1^1^0^idle|say^ ^ ^ ^ ^ ^0^0^1^0^0^0^0^1^0^30^0^0^ ^1^0^0^0^1^1^0^0^70005^0^0^0^bush^3^140^0
0^50005^消失的树丛1_10_1^MagicTree^3^3^ ^3^3^1^1^0^idle|say^ ^ ^ ^ ^ ^0^0^1^0^0^0^0^1^0^30^0^0^ ^1^0^0^0^1^1^0^0^70009^0^0^0^bush^3^140^0
0^50006^消失的树丛^MagicTree^3^3^ ^3^3^1^1^0^idle|say^ ^ ^ ^ ^ ^0^0^1^0^0^0^0^1^0^30^0^0^ ^1^0^0^0^1^1^0^0^70023^0^0^0^bush^3^140^0
0^50007^消失的树丛^MagicTree^3^3^ ^3^3^1^1^0^idle|say^ ^ ^ ^ ^ ^0^0^1^0^0^0^0^1^0^30^0^0^ ^1^0^0^0^1^1^0^0^70013^0^0^0^bush^3^140^0
0^50008^消失的树丛^MagicTree^1^3^ ^3^3^1^1^0^idle|say^ ^ ^ ^ ^ ^0^0^1^0^0^0^0^1^0^30^0^0^ ^1^0^0^0^1^1^0^0^70104^0^0^0^bush^3^140^0
0^50009^见面消失的树丛^MagicTree^1^1^ ^3^3^1^1^0^idle|say^ ^ ^ ^ ^ ^0^0^1^0^0^0^0^1^0^50^0^0^ ^1^0^0^0^1^1^0^0^70017^0^0^0^bush^3^140^0
0^50011^近程野蛮人^Salva^2^2^ ^3^3^0^1^0^move|attack|attakc_b|idle|die^ ^ ^ ^ ^ ^0^0^1^1^1^20020^0^70^0^15^1.3^0^ ^1^0^0^1^1^1^0^0^0^0^0^0^salva^3^140^0
0^50012^近程野蛮人ai^Salva^2^2^ ^3^3^0^1^0^move|attack|attakc_b|idle|die^ ^ ^ ^ ^ ^0^0^1^1^1^20020^0^20^0^15^1^0^ ^1^0^0^1^1^1^0^300005^0^0^0^0^salva^3^140^0
0^50013^近程野蛮人ai^Salva^2^2^ ^3^3^0^1^0^move|attack|attakc_b|idle|die^ ^ ^ ^ ^ ^0^0^1^1^1^20020^0^20^0^15^1^0^ ^1^0^0^1^1^1^0^300369^0^0^0^0^salva^3^140^0
0^50014^近程野蛮人ai1_2_3_1^Salva^2^2^ ^3^3^0^1^0^move|attack|attakc_b|idle|die^ ^ ^ ^ ^ ^0^0^1^1^1^20060^0^140^0^30^1.3^0^ ^1^0^0^1^1^1^0^300009^0^0^0^0^salva^3^140^0
0^50015^近程野蛮人ai1_3_1_1^Salva^2^2^ ^3^3^0^1^0^move|attack|attakc_b|idle|die^ ^ ^ ^ ^ ^0^0^1^1^1^20046^0^70^0^17^1.9^0^ ^1^0^0^1^1^1^0^300012^0^0^0^0^salva^3^140^0
0^50016^近程野蛮人ai1_3_1_2^Salva^2^2^ ^3^3^0^1^0^move|attack|attakc_b|idle|die^ ^ ^ ^ ^ ^0^0^1^1^1^20081^0^70^0^20^1.9^0^ ^1^0^0^1^1^1^0^300013^0^0^0^0^salva^3^140^0
0^50017^近程野蛮人ai1_3_1_3^Salva^2^2^ ^3^3^0^1^0^move|attack|attakc_b|idle|die^ ^ ^ ^ ^ ^0^0^1^1^1^20081^0^70^0^20^1.9^0^ ^1^0^0^1^1^1^0^300015^0^0^0^0^salva^3^140^0
0^50018^近程野蛮人ai1_3_1_4^Salva^2^2^ ^3^3^0^1^0^move|attack|attakc_b|idle|die^ ^ ^ ^ ^ ^0^0^1^1^1^20046^0^70^0^17^1.9^0^ ^1^0^0^1^1^1^0^300018^0^0^0^0^salva^3^140^0
0^50019^近程野蛮人ai1_3_2_1^Salva^2^2^ ^3^3^0^1^0^move|attack|attakc_b|idle|die^ ^ ^ ^ ^ ^0^0^1^1^1^20046^0^70^0^15^1^0^ ^1^0^0^1^1^1^0^300022^0^0^0^0^salva^3^140^0
0^50020^近程野蛮人ai1_3_2_2^Salva^2^2^ ^3^3^0^1^0^move|attack|attakc_b|idle|die^ ^ ^ ^ ^ ^0^0^1^1^1^20046^0^70^0^15^1^0^ ^1^0^0^1^1^1^0^300021^0^0^0^0^salva^3^140^0
0^50021^近程废土士兵^Native2^1^1^ ^3^3^1^1^0^move|attack|attakc_b|idle|die^ ^ ^ ^ ^ ^0^0^1^1^1^20021^0^30^0^15^1^5^ ^1^0^0^1^1^1^0^0^0^0^0^0^nativewarrior^3^140^0
0^50022^近程废土士兵ai1_7_5_1^Native2^1^1^ ^3^3^1^1^0^move|attack|attakc_b|idle|die^ ^ ^ ^ ^ ^0^0^1^1^1^20021^0^30^0^15^1^5^ ^1^0^0^1^1^1^0^0^0^0^0^0^nativewarrior^3^140^0
0^50023^长老ai1_8_1_1跟随英雄^Elder^1^5^ ^3^3^1^1^0^move|attack|attakc_b|idle|die^ ^ ^ ^ ^ ^0^0^1^1^1^20021^0^30^0^15^1^5^ ^1^0^0^1^1^1^0^302042^0^0^0^0^elder^3^140^0
0^50024^变异者1型1_8_4^Variant1^2^2^ ^3^3^0^1^0^move|attack|attakc_b|idle|die^ ^ ^ ^ ^ ^0^0^1^1^1^20046^0^700^0^30^1.1^0^ ^1^0^0^1^1^1^0^0^0^0^0^0^salva^3^140^0
0^50025^近程野蛮人1_8_2^Salva^2^2^ ^3^3^0^1^0^move|attack|attakc_b|idle|die^ ^ ^ ^ ^ ^0^0^1^1^1^20020^0^220^0^15^1.3^0^ ^1^0^0^1^1^1^0^0^0^0^0^0^salva^3^140^0
0^50026^近程野蛮人^Salva^2^2^ ^3^3^0^1^0^move|attack|attakc_b|idle|die^ ^ ^ ^ ^ ^0^0^1^1^1^20020^0^70^0^35^1.3^0^ ^1^0^0^1^1^1^0^0^0^0^0^0^salva^3^140^0
0^50027^近程野蛮人2_4_2^Salva^2^2^ ^3^3^0^1^0^move|attack|attakc_b|idle|die^ ^ ^ ^ ^ ^0^0^1^1^1^20020^0^70^0^30^2^0^ ^1^0^0^1^1^1^0^0^0^0^0^0^salva^3^140^0
0^50028^空白空气墙^Clear^3^3^ ^5^8^1^1^0^idle|die^ ^ ^ ^ ^ ^0^0^1^0^0^0^0^2000^0^15^0^0^ ^1^0^0^0^1^1^0^0^0^0^0^0^clear^3^200^0
0^50029^近程野蛮人1_3_4^Salva^2^2^ ^3^3^0^1^0^move|attack|attakc_b|idle|die^ ^ ^ ^ ^ ^0^0^1^1^1^20086^0^70^0^15^1.3^0^ ^1^0^0^1^1^1^0^0^0^0^0^0^salva^3^140^0
0^50031^龙柱^DragonColumn1^1^1^ ^3^3^1^1^0^idle|say^ ^ ^ ^ ^ ^0^0^1^0^0^0^0^1^0^50^0^0^ ^1^0^0^0^1^1^0^0^70113^0^0^0^dragoncolumn^3^140^0
