f^id^name^map^number^next_group^point^level^topic^reward^b^^^^^^^^^^^^^^^^^^^^^^^
0^1101^异星奇遇^1001^1^1102^176|526^110001|110002|110003|110004|110005^基本语法^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1102^奋起迎击^1001^2^1103^300|673^110006|110007|110008|110009|110010^字符串参数^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1103^随机应变^1001^3^1104^477|878^110011|110012|110013|110014|110015^数字参数^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1104^无尽循环^1001^4^1105^919|760^110016|110017|110018|110019|110020^初级while循环^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1105^遗迹深处^1001^5^1106^764|599^110021|110022|110023|110024^变量^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1106^突破困局^1001^6^1107^827|377^110026|110027|110028|110029^变量和while循环^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1107^波动之力^1001^7^1108^1201|487^110031|110032|110033|110034|110035^多参数^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1108^义不容辞^1001^8^1109^1369|618^110036|110037|110038|110039|110040^坐标和参数^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1109^藏宝迷宫^1001^9^1110^1595|564^110041|110042|110043^数字^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1110^失窃的卷轴^1001^10^1111^1760|477^110046|110047|110048|110049^字符串^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1111^神秘空间站^1002^1^1112^324|651^110051|110052|110053|110054|110055^if条件入门^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1112^未知前路^1002^2^1113^376|343^110056|110057|110058^布尔值^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1113^遗民部族^1002^3^1114^654|291^110061|110062|110063|110064|110065^if条件进阶^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1114^孤胆营救^1002^4^1115^1159|269^110066|110067|110068|110069|110070^while循环进阶^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1115^力挽狂澜^1002^5^1116^1609|382^110071|110072|110073|110074|110075^Pass/Break/Continue^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1116^完璧归赵^1002^6^1117^1491|678^110076|110077|110078^while循环嵌套^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1117^第二个迷宫^1002^7^1118^1114|810^110081|110084^混用while和if^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1118^守护小精灵^1002^8^1119^999|641^110086|110088^列表I^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1119^动力核心^1002^9^1120^1108|486^110091^列表II^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1120^下一行星^1002^10^1121^831|456^110096|110097|110098|110099|110100^列表III^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1121^test21^1003^1^1122^324|651^110101|110102^基本语法^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1122^test22^1003^2^1123^376|343^110106|110107^方法使用^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1123^test23^1003^3^1124^654|291^110111|110112^基本语法^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1124^test24^1003^4^1125^1159|269^110116|110117^方法使用^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1125^test25^1003^5^1126^1609|382^110121|110122^基本语法^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1126^test26^1003^6^1127^1491|678^110122^方法使用^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1127^test27^1003^7^1128^1114|810^110122^基本语法^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1128^test28^1003^8^1129^999|641^110122^方法使用^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1129^test29^1003^9^1130^1108|486^110122^基本语法^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1130^test30^1003^10^1131^831|456^110122^方法使用^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1131^test31^1004^1^1132^1|1^ ^基本语法^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1132^test32^1004^2^1133^1|1^ ^方法使用^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1133^test33^1004^3^1134^1|1^ ^基本语法^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1134^test34^1004^4^1135^1|1^ ^方法使用^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1135^test35^1004^5^1136^1|1^ ^基本语法^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1136^test36^1004^6^1137^1|1^ ^方法使用^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1137^test37^1004^7^1138^1|1^ ^基本语法^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1138^test38^1004^8^1139^1|1^ ^方法使用^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1139^test39^1004^9^1140^1|1^ ^基本语法^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1140^test40^1004^10^1141^1|1^ ^方法使用^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1141^test41^1005^1^1142^1|1^ ^基本语法^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1142^test42^1005^2^1143^1|1^ ^方法使用^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1143^test43^1005^3^1144^1|1^ ^基本语法^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1144^test44^1005^4^1145^1|1^ ^方法使用^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1145^test45^1005^5^1146^1|1^ ^基本语法^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1146^test46^1005^6^1147^1|1^ ^方法使用^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1147^test47^1005^7^1148^1|1^ ^基本语法^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1148^test48^1005^8^1149^1|1^ ^方法使用^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1149^test49^1005^9^1150^1|1^ ^基本语法^0^0^^^^^^^^^^^^^^^^^^^^^^^
0^1150^test50^1005^10^0^1|1^ ^方法使用^0^0^^^^^^^^^^^^^^^^^^^^^^^
