f^id^is_key^dialog_type^guide_type^guide_text^click_area_type^click_area_size^trigger_type^trigger_value^arrow_direction^story_dialog_pos^next^ui_target^guide_key^story_image^b
0^2002^1^1^3^点击“开始运行”，开始运行代码，去战斗吧！^2^1102|635|193|40^0^110000^2^3^0^btnCast^2001^^0
0^2003^1^1^3^哇，你完成所有目标了，点击完成，跟随英雄去探险吧！^2^1644|632|170|60^0^110000^2^3^0^btnDone^2001^^0
0^2006^1^1^3^请开始您的探险之路吧！^2^1025|157|815|250^1^110001^1^3^2007^btnExploreWay^2006^^0
0^2007^0^1^2^大地图选关^1^220|520|55^1^110001^2^^2008^btnBarrier0^2006^^0
0^2008^0^1^2^章节选关^2^144|782|135|50^1^110001^1^ ^2009^btnFight^2006^^0
0^2009^0^1^3^选择你要上阵的装备^2^266|143|240|310^1^110001^1^4^2010^EquipCard^2006^^0
0^2010^0^1^3^赶快开始你的战斗吧！^2^1619|965|230|100^1^110001^2^3^0^fightBtn^2006^^0
0^2011^1^1^1^你可以在编辑器里输入代码来控制英雄^2^ 1091|30|810|600^1^110001^4^3^2012^btnCast^2011^^0
0^2012^0^1^3^点击技能图标，可以自动输入代码^2^1336|710|120|115^1^110001^2^3^2013^actionItem^2011^^0
0^2013^0^1^3^代码写完，运行一下，试试下你的第一行代码吧^2^1100|634|220|55^1^110001^2^3^0^btnCast^2011^^0
0^2014^1^1^3^哇，你完成所有目标了，赶快点击完成，领取奖励吧！^2^1644|632|170|60^1^110001^2^3^0^btnDone^2014^^0
